"huc12","areasqkm"
"040500050405",86.6550027996
"040500050102",76.7216389788
"040500060312",78.9253937305
"040500060313",84.8006627913
"040900010405",78.2361186173
"040500040710",104.076580047
"040500050403",103.013183061
"040500060307",42.6101926539
"040500050401",57.3693041422
"040500060310",59.5298828711
"040900010302",100.481653711
"040500060512",57.4923784886
"040900010402",81.40514478
"040500050103",50.2366824277
"040802040306",81.1341137997
"040802040307",58.2275910761
"040500060707",71.0692556788
"040500050104",69.9790564014
"040500060705",99.2040354701
"040801040207",6.80924066826
"040900010403",111.051089007
"040500060703",41.0934803414
"040500050406",66.8380002555
"040802030206",89.7681001417
"040900010304",138.208719018
"040500050105",85.3917044256
"040900010214",72.6220389607
"040802040102",50.8491793423
"040900010301",61.2780612843
"040500050501",59.0733951088
"040802040103",91.7163336852
"040802040104",135.916181704
"040500060709",39.7580137194
"040500060708",46.09273032
"040500020301",31.1612909098
"040802040505",75.6799332781
"040802040410",55.5283039421
"040900010404",59.9043001312
"040900010401",61.4017935903
"040500060309",130.01930685
"040802040406",65.378749115
"040500060209",123.9706606
"040500050505",74.791374711
"040900010212",41.7352723044
"040500060305",43.2701636
"040802040501",116.034985294
"040802030207",56.4992127728
"040500060306",71.2247116399
"040900010206",64.184573786
"040500060504",44.4605937782
"040500060502",144.163582498
"040900010213",47.6356758578
"040500050201",70.8582185959
"040802040408",73.4276757018
"040802040402",72.8556838103
"040500050502",91.0080598912
"040900010210",44.7861278334
"040500060507",138.166648147
"040802040506",86.9717820445
"040500050503",92.2611028545
"040500060501",82.3512906251
"040500060701",45.2698991109
"040500060712",129.214434618
"040900010207",60.0619033592
"040601020903",108.714902061
"040802050203",131.318644123
"040601020810",151.668055787
"040802010607",93.2924742812
"040601020905",159.482502336
"040802020305",48.4133648937
"040802060201",137.262080297
"040900010104",62.6513730934
"040802020503",57.0114463777
"040802050201",104.423446036
"040802020306",79.6326385853
"040802030402",48.5105400066
"040802020502",66.1526721194
"040802050207",47.887629089
"040802020303",95.5457292046
"040802050202",77.8460382572
"040601010707",112.911824663
"040601010901",125.209535824
"040601011007",85.4848970386
"040802060202",71.1237014341
"040500060101",67.810434725
"040801040202",61.9113887657
"040601011004",23.1278858545
"040601020902",81.8241467161
"040601020808",53.6902707644
"040802050204",56.3183974575
"040601010902",72.2644090167
"040802060103",109.39261391
"040802050106",147.71209199
"040802020507",85.2534483296
"040601020706",106.266756759
"040601020807",48.5585323902
"040801030102",216.416592331
"040802010605",81.7499102593
"040802020302",48.6736616365
"040802020404",82.5134847368
"040802050104",101.399849081
"040601010706",88.1944054957
"040802060203",94.1137622841
"040601010804",118.434035872
"040802020505",65.9403364967
"040802020504",78.1646287146
"040801040201",67.4430205568
"040802010606",83.3033628714
"040601020803",112.434501597
"040601010704",159.455578082
"040900010102",49.2618173665
"040601010703",76.1091492573
"040802050110",47.237861715
"040802050105",117.755332075
"040802020501",49.3259723015
"040801030106",95.7147604408
"040601010702",48.3851918341
"040801030105",27.1578498263
"040801020204",85.3284095003
"040802020301",67.6491767048
"040801030103",155.091782004
"040802020508",107.138329006
"040601010801",59.941923838
"040802060204",43.7652856633
"040801030107",102.370509221
"040601011004",21.773363541
"040801030101",61.7626973397
"040802020207",116.064677705
"040802050205",100.848151659
"040801020106",0.47709608092
"040601010802",44.5507592934
"040801020206",90.2205656781
"040601011006",148.698016308
"040601010705",128.314342256
"040802010601",125.8286934
"040801030104",65.124161404
"040801040111",89.7434885004
"040801030105",7.54000339917
"040601020705",144.6111693
"040802050109",90.6693092348
"040900010101",95.9727077578
"040601010803",58.779883037
"040601020802",125.843277054
"040802050107",92.0956525085
"040801030105",23.1063766267
"040601010701",120.436979797
"040802020202",86.5607760119
"040601010602",67.8487332401
"040801040110",47.7680075422
"040801020202",48.0760249461
"040802010604",102.189905498
"040601020801",109.570638226
"040802010503",45.3241941565
"040801030109",68.9209485841
"040801040107",0.00949316293834
"040601011005",64.0407352375
"040801040109",53.3757361809
"040601020704",142.128466858
"040801030108",92.4674962174
"040802010603",90.0593620708
"040802020206",115.108749333
"040801040107",2.0113006493
"040801020203",83.4860616661
"040801030201",44.8976296734
"040802010501",108.305560228
"040801030110",97.7853112471
"040802010506",76.185437713
"040802050108",85.6476795568
"040802010504",60.8600662141
"040801030202",87.5593806291
"040601010603",97.6217754256
"040801040108",61.2204355112
"040802020201",72.0625373247
"040601010402",114.807875627
"040601010401",150.349923924
"040601011004",21.0570069047
"040601010301",104.405361041
"040601010605",65.6885671271
"040601010302",75.0155177268
"040601020703",103.220236116
"040801020205",142.762814368
"040802020203",54.369113708
"040801020106",96.6260858494
"040802020104",138.620267177
"040802020204",98.6167766262
"040801030401",40.5167356088
"040802010602",74.7986692934
"040601010404",90.8119847293
"040801030402",70.5707391749
"040801020109",40.5622157512
"040801040107",58.2559146554
"040801030203",115.739334626
"040801020106",3.74453981491
"040802010408",87.7698233145
"040801040106",77.4440745886
"040802010502",85.0056402741
"040801030301",127.871251715
"040802010505",105.066417999
"040601011002",2.16205543422
"040802020205",95.8818204504
"040802010507",91.5901309012
"040802020103",67.5901030364
"040601020702",115.948327993
"040801020108",40.0078504155
"040801020106",5.63477126566
"040601010403",102.489671185
"040601020701",132.564616085
"040601010405",88.5717298836
"040601010304",118.843652988
"040601010604",111.967029758
"040801020107",68.983813173
"040601020601",66.1329088554
"040601010601",99.1996257409
"040802010407",81.8408664675
"040801030302",76.3399185536
"040601011003",59.770257401
"040802010302",78.0883669481
"040802020101",48.1827309665
"040802020102",117.015553268
"040801040105",89.3872400797
"040802010303",109.276177456
"040801040102",87.1097875791
"040801040101",91.8973964492
"040801010101",53.2054356892
"040601020204",110.296951295
"040801010102",103.544285393
"040601020207",65.5930841696
"040801010203",60.3423705933
"040601030306",111.911928836
"040801010202",76.5004642997
"040601020104",217.145334386
"040700070709",71.0561621956
"040601020203",102.419579089
"040601030503",52.1161354622
"040601030303",107.049359459
"040700070103",123.402854072
"040601040406",11.8514420903
"040801010402",71.0520859164
"040601020103",123.289656268
"040601030204",78.4870818403
"040601020202",130.412850952
"040700070708",51.721579292
"040700070104",74.1863937078
"040601030207",78.1484503137
"040801010401",77.2799877979
"040700070707",76.9458847542
"040601030203",51.8648014978
"040601030502",115.015795782
"040601030501",104.830609874
"040700070705",108.200357735
"040700070102",103.443878626
"040601020101",116.38718352
"040601030305",74.6104595698
"040700070107",117.805122458
"040601040404",65.0347109042
"040601030302",116.365237068
"040601030201",88.1248282631
"040700070606",44.1226045356
"040700070706",130.618000296
"040601030304",113.597619492
"040601030208",143.213285114
"040601030209",140.242446737
"040700070106",70.2599429724
"040700070401",90.0272966774
"040700070404",117.834928786
"040700070109",69.7510529768
"040700070601",54.8571725108
"040700070609",123.020187341
"040601030107",73.5870747267
"040700070403",50.0665145531
"040601030205",130.115216362
"040601020201",47.2357772567
"040700070605",103.069868722
"040700070703",78.6344901671
"040700070608",52.7374520327
"040601030206",72.2265675956
"040700070105",110.872737603
"040601030301",118.417126076
"040601040304",140.232245244
"040700070402",89.2080476246
"040700070108",121.944037665
"040601040406",65.681295847
"040700070405",104.856652285
"040601040306",69.6408166866
"040601050505",82.4742969995
"040700070602",59.0247346379
